observation_date,USFIRE
1939-01-01,1371
1939-02-01,1372
1939-03-01,1376
1939-04-01,1370
1939-05-01,1379
1939-06-01,1381
1939-07-01,1386
1939-08-01,1392
1939-09-01,1406
1939-10-01,1398
1939-11-01,1400
1939-12-01,1405
1940-01-01,1409
1940-02-01,1415
1940-03-01,1416
1940-04-01,1419
1940-05-01,1421
1940-06-01,1423
1940-07-01,1423
1940-08-01,1427
1940-09-01,1428
1940-10-01,1432
1940-11-01,1436
1940-12-01,1436
1941-01-01,1438
1941-02-01,1439
1941-03-01,1444
1941-04-01,1458
1941-05-01,1460
1941-06-01,1468
1941-07-01,1475
1941-08-01,1478
1941-09-01,1482
1941-10-01,1482
1941-11-01,1481
1941-12-01,1481
1942-01-01,1485
1942-02-01,1480
1942-03-01,1478
1942-04-01,1468
1942-05-01,1460
1942-06-01,1453
1942-07-01,1446
1942-08-01,1441
1942-09-01,1440
1942-10-01,1439
1942-11-01,1434
1942-12-01,1432
1943-01-01,1427
1943-02-01,1427
1943-03-01,1426
1943-04-01,1432
1943-05-01,1435
1943-06-01,1446
1943-07-01,1435
1943-08-01,1428
1943-09-01,1430
1943-10-01,1427
1943-11-01,1429
1943-12-01,1431
1944-01-01,1426
1944-02-01,1425
1944-03-01,1423
1944-04-01,1419
1944-05-01,1416
1944-06-01,1423
1944-07-01,1409
1944-08-01,1403
1944-09-01,1407
1944-10-01,1406
1944-11-01,1406
1944-12-01,1405
1945-01-01,1407
1945-02-01,1405
1945-03-01,1404
1945-04-01,1403
1945-05-01,1407
1945-06-01,1416
1945-07-01,1428
1945-08-01,1437
1945-09-01,1449
1945-10-01,1463
1945-11-01,1483
1945-12-01,1505
1946-01-01,1540
1946-02-01,1560
1946-03-01,1582
1946-04-01,1599
1946-05-01,1615
1946-06-01,1625
1946-07-01,1630
1946-08-01,1638
1946-09-01,1646
1946-10-01,1658
1946-11-01,1666
1946-12-01,1668
1947-01-01,1648
1947-02-01,1647
1947-03-01,1649
1947-04-01,1657
1947-05-01,1661
1947-06-01,1663
1947-07-01,1680
1947-08-01,1682
1947-09-01,1689
1947-10-01,1694
1947-11-01,1701
1947-12-01,1707
1948-01-01,1714
1948-02-01,1722
1948-03-01,1727
1948-04-01,1732
1948-05-01,1737
1948-06-01,1747
1948-07-01,1753
1948-08-01,1753
1948-09-01,1758
1948-10-01,1749
1948-11-01,1752
1948-12-01,1754
1949-01-01,1756
1949-02-01,1755
1949-03-01,1759
1949-04-01,1760
1949-05-01,1761
1949-06-01,1760
1949-07-01,1762
1949-08-01,1765
1949-09-01,1779
1949-10-01,1778
1949-11-01,1784
1949-12-01,1788
1950-01-01,1793
1950-02-01,1799
1950-03-01,1804
1950-04-01,1810
1950-05-01,1818
1950-06-01,1822
1950-07-01,1825
1950-08-01,1833
1950-09-01,1844
1950-10-01,1843
1950-11-01,1847
1950-12-01,1852
1951-01-01,1857
1951-02-01,1864
1951-03-01,1869
1951-04-01,1873
1951-05-01,1879
1951-06-01,1886
1951-07-01,1892
1951-08-01,1899
1951-09-01,1906
1951-10-01,1906
1951-11-01,1921
1951-12-01,1925
1952-01-01,1925
1952-02-01,1936
1952-03-01,1944
1952-04-01,1952
1952-05-01,1957
1952-06-01,1961
1952-07-01,1971
1952-08-01,1973
1952-09-01,1978
1952-10-01,1984
1952-11-01,1990
1952-12-01,1996
1953-01-01,2004
1953-02-01,2011
1953-03-01,2016
1953-04-01,2021
1953-05-01,2026
1953-06-01,2032
1953-07-01,2042
1953-08-01,2045
1953-09-01,2048
1953-10-01,2054
1953-11-01,2059
1953-12-01,2067
1954-01-01,2075
1954-02-01,2082
1954-03-01,2089
1954-04-01,2100
1954-05-01,2108
1954-06-01,2114
1954-07-01,2119
1954-08-01,2121
1954-09-01,2142
1954-10-01,2146
1954-11-01,2154
1954-12-01,2160
1955-01-01,2165
1955-02-01,2171
1955-03-01,2181
1955-04-01,2188
1955-05-01,2194
1955-06-01,2208
1955-07-01,2220
1955-08-01,2228
1955-09-01,2237
1955-10-01,2243
1955-11-01,2248
1955-12-01,2258
1956-01-01,2267
1956-02-01,2276
1956-03-01,2285
1956-04-01,2290
1956-05-01,2296
1956-06-01,2300
1956-07-01,2303
1956-08-01,2315
1956-09-01,2308
1956-10-01,2312
1956-11-01,2319
1956-12-01,2318
1957-01-01,2320
1957-02-01,2326
1957-03-01,2330
1957-04-01,2333
1957-05-01,2338
1957-06-01,2345
1957-07-01,2355
1957-08-01,2355
1957-09-01,2354
1957-10-01,2364
1957-11-01,2374
1957-12-01,2378
1958-01-01,2383
1958-02-01,2380
1958-03-01,2378
1958-04-01,2379
1958-05-01,2385
1958-06-01,2381
1958-07-01,2380
1958-08-01,2385
1958-09-01,2390
1958-10-01,2395
1958-11-01,2396
1958-12-01,2402
1959-01-01,2418
1959-02-01,2420
1959-03-01,2430
1959-04-01,2439
1959-05-01,2447
1959-06-01,2454
1959-07-01,2460
1959-08-01,2464
1959-09-01,2470
1959-10-01,2477
1959-11-01,2483
1959-12-01,2491
1960-01-01,2496
1960-02-01,2506
1960-03-01,2513
1960-04-01,2520
1960-05-01,2523
1960-06-01,2528
1960-07-01,2536
1960-08-01,2543
1960-09-01,2549
1960-10-01,2548
1960-11-01,2557
1960-12-01,2560
1961-01-01,2565
1961-02-01,2567
1961-03-01,2567
1961-04-01,2573
1961-05-01,2580
1961-06-01,2587
1961-07-01,2592
1961-08-01,2599
1961-09-01,2604
1961-10-01,2608
1961-11-01,2614
1961-12-01,2621
1962-01-01,2625
1962-02-01,2630
1962-03-01,2636
1962-04-01,2641
1962-05-01,2649
1962-06-01,2655
1962-07-01,2659
1962-08-01,2664
1962-09-01,2669
1962-10-01,2676
1962-11-01,2683
1962-12-01,2688
1963-01-01,2696
1963-02-01,2702
1963-03-01,2709
1963-04-01,2715
1963-05-01,2724
1963-06-01,2726
1963-07-01,2731
1963-08-01,2738
1963-09-01,2742
1963-10-01,2755
1963-11-01,2759
1963-12-01,2769
1964-01-01,2778
1964-02-01,2786
1964-03-01,2793
1964-04-01,2801
1964-05-01,2806
1964-06-01,2810
1964-07-01,2816
1964-08-01,2819
1964-09-01,2826
1964-10-01,2828
1964-11-01,2833
1964-12-01,2837
1965-01-01,2844
1965-02-01,2849
1965-03-01,2855
1965-04-01,2860
1965-05-01,2868
1965-06-01,2871
1965-07-01,2880
1965-08-01,2886
1965-09-01,2894
1965-10-01,2904
1965-11-01,2910
1965-12-01,2915
1966-01-01,2921
1966-02-01,2924
1966-03-01,2936
1966-04-01,2942
1966-05-01,2949
1966-06-01,2959
1966-07-01,2973
1966-08-01,2973
1966-09-01,2978
1966-10-01,2983
1966-11-01,2991
1966-12-01,3002
1967-01-01,3012
1967-02-01,3023
1967-03-01,3037
1967-04-01,3051
1967-05-01,3065
1967-06-01,3081
1967-07-01,3094
1967-08-01,3110
1967-09-01,3123
1967-10-01,3133
1967-11-01,3146
1967-12-01,3161
1968-01-01,3169
1968-02-01,3182
1968-03-01,3191
1968-04-01,3200
1968-05-01,3210
1968-06-01,3215
1968-07-01,3231
1968-08-01,3253
1968-09-01,3264
1968-10-01,3283
1968-11-01,3298
1968-12-01,3310
1969-01-01,3326
1969-02-01,3342
1969-03-01,3355
1969-04-01,3371
1969-05-01,3383
1969-06-01,3401
1969-07-01,3417
1969-08-01,3435
1969-09-01,3438
1969-10-01,3448
1969-11-01,3459
1969-12-01,3472
1970-01-01,3485
1970-02-01,3497
1970-03-01,3512
1970-04-01,3519
1970-05-01,3525
1970-06-01,3528
1970-07-01,3534
1970-08-01,3538
1970-09-01,3548
1970-10-01,3556
1970-11-01,3568
1970-12-01,3579
1971-01-01,3591
1971-02-01,3599
1971-03-01,3607
1971-04-01,3620
1971-05-01,3632
1971-06-01,3652
1971-07-01,3658
1971-08-01,3666
1971-09-01,3679
1971-10-01,3690
1971-11-01,3704
1971-12-01,3716
1972-01-01,3723
1972-02-01,3730
1972-03-01,3740
1972-04-01,3753
1972-05-01,3765
1972-06-01,3791
1972-07-01,3790
1972-08-01,3801
1972-09-01,3810
1972-10-01,3821
1972-11-01,3832
1972-12-01,3842
1973-01-01,3852
1973-02-01,3874
1973-03-01,3888
1973-04-01,3897
1973-05-01,3909
1973-06-01,3918
1973-07-01,3929
1973-08-01,3939
1973-09-01,3946
1973-10-01,3947
1973-11-01,3963
1973-12-01,3972
1974-01-01,3986
1974-02-01,4004
1974-03-01,4006
1974-04-01,4012
1974-05-01,4022
1974-06-01,4030
1974-07-01,4034
1974-08-01,4035
1974-09-01,4036
1974-10-01,4038
1974-11-01,4038
1974-12-01,4036
1975-01-01,4031
1975-02-01,4026
1975-03-01,4024
1975-04-01,4027
1975-05-01,4032
1975-06-01,4031
1975-07-01,4042
1975-08-01,4052
1975-09-01,4062
1975-10-01,4072
1975-11-01,4076
1975-12-01,4090
1976-01-01,4096
1976-02-01,4105
1976-03-01,4115
1976-04-01,4127
1976-05-01,4136
1976-06-01,4146
1976-07-01,4155
1976-08-01,4160
1976-09-01,4184
1976-10-01,4199
1976-11-01,4213
1976-12-01,4229
1977-01-01,4247
1977-02-01,4260
1977-03-01,4285
1977-04-01,4304
1977-05-01,4318
1977-06-01,4333
1977-07-01,4349
1977-08-01,4368
1977-09-01,4394
1977-10-01,4416
1977-11-01,4441
1977-12-01,4461
1978-01-01,4476
1978-02-01,4506
1978-03-01,4527
1978-04-01,4547
1978-05-01,4566
1978-06-01,4592
1978-07-01,4615
1978-08-01,4633
